comune,km,nome,piva,settore,ateco,attivita,fatturato,anno,personale,dipendenti,indirizzo,prova
Milano,20.3,NUOVA MILANO COOPERATIVA LOGISTICA,09628360969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,448586,,,,"Via Correggio, 22","PG «nuova milano logistica» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,GAMMA SERVICE S.R.L.,02630500201,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,439740,2024,382750,da 20 a 49,"Foro Buonaparte, 59","PG «gamma service» in milano: 12 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,NEW RAPID.COM SOCIETA' A RESPONSABILITA' LIMITATA,11086030969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,416186,2021,339279,1,"Via G Battista Pergolesi, 11","PG «new rapid com» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,DEMETRA SERVIZI GENERALI - SOCIETA' A RESPONSABILITA' LIMITATA,09556450964,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,386000,2017,481651,nessuno,"Viale Bianca Maria, 23","PG «demetra servizi generali» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,PONOS S.R.L.S. - SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,13415630964,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,383651,2024,334746,da 20 a 49,"Via Alessandro Astesani, 45/E","PG «ponos» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,LOGISTIC S.R.L.,13078020966,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,377862,2024,297965,da 20 a 49,"Via Argelati Filippo, 10","PG «logistic» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,BEST WORK LOGISTIC SOCIETA' COOPERATIVA,09664570968,Facchinaggio,52.24,Movimentazione merci,330695,,,,"Largo Quinto Alpini, 12","PG «best work logistic» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,WORK SER. SOCIETA' COOPERATIVA,12452630960,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,326987,,,,"Via Alessandro Astesani, 45/E","PG «work ser» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,TE.MA SOCIETA' COOPERATIVA,09320670962,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,275438,,,,"Viale Lunigiana, 46","PG «te ma» in milano: 15 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,ARIVO SRL,01702560085,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,271829,2024,102041,da 10 a 15,"Via Bernardo Quaranta, 45","PG «arivo» in milano: 3 risultati, nessuno con nome e comune coincidenti"
