comune,km,nome,piva,gia_25_09,cat_pg,fatturato,anno,personale,dipendenti,indirizzo_pg,indirizzo_legale,telefono,altri,fonte,livello,link_pg,ateco,attivita
San Cesario sul Panaro,191.3,COOPERATIVA FACCHINI RINASCITA - C. F. R. - SOCIETA' COOPERATIVA,00647920362,,"Facchinaggio, carico e scarico merci, portabagagli",2976953,,,,"Via Verdi, 9 - 41018 San Cesario sul Panaro (MO)","Via Verdi, 9",059 930414,,ateco,esatto,https://www.paginegialle.it/san-cesario-sul-panaro-mo/facchinaggio/cooperativa-facchini-rinascita-c-f-r-societa-cooperativa_19557386,52.24,Movimentazione merci
Spilamberto,193.7,NUOVA F.M. SERVICE SOCIETA' COOPERATIVA,03572360364,,"Facchinaggio, carico e scarico merci, portabagagli",1102676,,,,"Via Tevere, 3 - 41057 Spilamberto (MO)","Via Tevere, 8",059 785674,,ateco,esatto,https://www.paginegialle.it/spilamberto-mo/facchinaggio/nuova-f-m-service-societa-cooperativa_2,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Vignola,193.9,CONSORZIO SERCON,03817330362,,"Cooperative produzione, lavoro e servizi",3329840,2024,,,"Via Paraviana, 271 - 41058 Vignola (MO)","Via Paraviana, 271",348 0110434,059 762599,ateco,via,https://www.paginegialle.it/vignola-mo/cooperativa-lavoro/sercon,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Massa,195.5,M.E.P. SERVIZI SOCIETA' COOPERATIVA,01122570458,,"Facchinaggio, carico e scarico merci, portabagagli",555689,,,,"Via Remola, 7 - 54100 Massa (MS)","Via Remola, 7",0585 833881,,ateco,esatto,https://www.paginegialle.it/massa-ms/facchinaggio/m-e-p-servizi,52.24,Movimentazione merci
Vignola,195.9,FABBRICA DEL LAVORO S.R.L.,03599380361,,"Facchinaggio, carico e scarico merci, portabagagli",8582174,2024,7693748,da 200 a 249,"Corso Italia, 80 - 41058 Vignola (MO)","Corso Italia, 80",059 8676607,,categoria,esatto,https://www.paginegialle.it/vignola-mo/facchinaggio/fabbrica-lavoro,52.29.22,Servizi logistici relativi alla distribuzione delle merci
Zola Predosa,207.8,COOPACKING SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA,02384561201,,"Facchinaggio, carico e scarico merci, portabagagli",1356656,,,,"Via delle Officine, n.32/B - 40069 Zola Predosa (BO)","Via Delle Officine, 32/B",051 6167299,,ateco,esatto,https://www.paginegialle.it/coopackingsoccooparl-zolapredosa,52.24,Movimentazione merci
Castel Maggiore,210.4,PLATINUM S.R.L.,02987611205,,"Facchinaggio, carico e scarico merci, portabagagli",3245320,2017,624558,da 20 a 49,"Via Nenni Pietro, 14 - 40013 Castel Maggiore (BO)","Via Angelelli, 14/A",051 6320304,051 713965 · 051 6322211,ateco,esatto,https://www.paginegialle.it/castel-maggiore-bo/facchinaggio/platinum-s-r-l,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Camaiore,210.8,MULTISERVICES SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,02421770468,,"Facchinaggio, carico e scarico merci, portabagagli",704571,2020,523272,da 16 a 19,"Via Monte Cavallo, 10 - 55041 Camaiore (LU)","Via Montecavallo, 10",0584 915512,,ateco,esatto,https://www.paginegialle.it/camaiore-lu/facchinaggio/multiservices-societa-responsabilita-limitata-semp,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Bologna,214.3,G.T.A. SOCIETA' COOPERATIVA,07001320964,,"Facchinaggio, carico e scarico merci, portabagagli",1422971,,,,"Via Brugnoli Giovanni, 11 - 40122 Bologna (BO)","Via Dei Vestiari, 12",345 8542226,,categoria,esatto,https://www.paginegialle.it/bologna-bo/imprese-di-pulizia/g-t-a,81.21,Pulizia generale (non specializzata) di edifici
Maserà di Padova,215.0,COOPERATIVA NOVACOP - SOCIETA' COOPERATIVA,01989790280,,"Cooperative produzione, lavoro e servizi",1678441,,,,"Via Terradura, 83 - 35020 Maserà di Padova (PD)","Via Terradura, 83",335 6396587,,ateco,esatto,https://www.paginegialle.it/cooperativanovacopmaseradipadova,52.24.4,Movimento merci relativo ad altri trasporti terrestri
